"Eco_Ctrl1"	"Eco_Ctrl2"	"Eco_Exp1"	"Eco_Exp2"
"b0222"	9.22129528782087	16.0310909285935	10.2230896679404	7.24364469790863
"b0223"	6.14753019188058	0	2.87524396910823	3.10441915624655
"b0224"	5.12294182656715	0	7.028374146709	2.06961277083104
"b0225"	8.19670692250744	2.67184848809892	6.70890259458586	5.17403192707759
"b0226"	7.17211855719401	0	5.43101638609332	4.13922554166207
"b0227"	0	0	0	0
"b0228"	0	0	0	0
"b0229"	0	0	0	0
"b0230"	0	0	0	0
"b0231"	0	0	0	5.17403192707759
"b0232"	0	0	0	1.03480638541552
"b0233"	0	0	0	0
"b0234"	0	0	0	0
"b0235"	0	0	0	1.03480638541552
"b0236"	0	0	0	1.03480638541552
"b0237"	12.2950603837612	5.34369697619783	11.1815043243098	4.13922554166207
"b0238"	27.6638858634626	8.01554546429675	35.141870733545	27.939772406219
"b0239"	4.09835346125372	0	6.06995949033959	6.20883831249311
"b0240"	15.3688254797015	26.7184848809892	35.7808138377913	26.9049660208035
"b0241"	0	0	0	0
"b0242"	13.3196487490746	13.3592424404946	16.9319922625262	8.27845108332414
"b0243"	6.14753019188058	2.67184848809892	7.028374146709	5.17403192707759
"b0245"	0	0	0	0
"b0246"	0	0	0	0
"b0247"	0	0	0	0
"b0248"	0	0	0	0
"b0249"	0	0	0	0
"b0250"	0	0	0	0
"b0251"	0	0	0	0
"b0252"	0	0	0	0
"b0253"	0	0	0	0
"b0254"	0	0	0	0
"b0256"	0	0	0	0
"b0258"	1.02458836531343	0	0.319471552123136	0
"b0259"	0	2.67184848809892	0	0
"b0260"	2.04917673062686	0	0	1.03480638541552
"b0261"	3.07376509594029	0	0	0
"b0262"	1.02458836531343	0	0	0
"b0263"	0	0	0	0
"b0264"	0	0	0	0
"b0265"	1.02458836531343	0	0	1.03480638541552
"b0266"	0	0	0	0
"b0267"	0	0	0	0
"b0268"	0	0	0	0
"b0269"	0	0	0	0
"b0270"	1.02458836531343	0	0	0
"b0271"	0	0	0	0
"b0272"	3.07376509594029	0	0	0
"b0273"	1.02458836531343	2.67184848809892	0	1.03480638541552
"b0274"	0	0	0	0
"b0275"	0	0	0	0
"b0276"	0	0	0	0
"b0277"	0	0	0	0
"b0278"	0	0	0	0
"b0279"	0	0	0	0
"b0280"	0	2.67184848809892	0.319471552123136	0
"b0281"	2.04917673062686	0	0.319471552123136	0
"b0282"	0	0	0	0
"b0283"	0	0	0	0
"b0284"	1.02458836531343	0	0	0
"b0285"	0	0	0	0
"b0286"	0	0	0	0
"b0287"	0	5.34369697619783	0.319471552123136	0
"b0288"	0	0	0	0
"b0289"	0	0	0	0
"b0290"	0	0	0	1.03480638541552
"b0291"	0	0	0	0
"b0292"	0	0	0	0
"b0293"	1.02458836531343	0	0	0
"b0294"	0	0	0	0
"b0295"	0	0	0	0
"b0296"	1.02458836531343	0	0	0
"b0297"	0	0	0	0
"b0298"	0	0	0	0
"b0299"	0	0	0	0
"b0300"	0	0	0	0
"b0301"	0	0	0	0
"b0303"	0	0	0	0
"b0304"	1.02458836531343	0	0	0
"b0305"	0	0	0	0
"b0306"	0	0	0	0
"b0307"	0	0	0	0
"b0308"	0	0	0	0
"b0310"	0	0	0	0
"b0311"	3.07376509594029	0	0	0
"b0312"	0	2.67184848809892	0.638943104246272	3.10441915624655
"b0313"	2.04917673062686	0	0.319471552123136	0
"b0314"	1.02458836531343	0	1.59735776061568	1.03480638541552
"b0315"	1.02458836531343	2.67184848809892	0	0
"b0316"	0	0	0	0
"b0317"	0	0	0	0
"b0318"	0	0	0	0
"b0319"	0	0	0	0
"b0320"	0	0	0	0
"b0321"	0	0	0	0
"b0322"	1.02458836531343	2.67184848809892	0	1.03480638541552
"b0323"	0	0	0	0
"b0324"	1.02458836531343	0	0	0
"b0325"	4.09835346125372	0	0	0
"b0326"	0	0	0	0
"b0327"	0	0	0	0
"b0328"	0	0	0	0
"b0329"	2.04917673062686	0	0	0
"b0330"	0	0	0	0
"b0331"	0	0	0	0
"b0333"	0	0	0	0
"b0334"	0	0	0	0
"b0335"	0	0	0	0
"b0336"	3.07376509594029	2.67184848809892	0	0
"b0337"	1.02458836531343	2.67184848809892	0	0
"b0338"	1.02458836531343	0	0	0
"b0339"	0	0	0	0
"b0340"	0	0	0	0
"b0341"	0	0	0.319471552123136	0
"b0342"	0	0	0	0
"b0343"	0	0	0	0
"b0344"	0	0	0	0
"b0345"	2.04917673062686	0	0.319471552123136	1.03480638541552
"b0346"	0	2.67184848809892	0.319471552123136	0
"b0347"	0	0	0	0
"b0348"	1.02458836531343	0	0	0
"b0349"	0	0	0	0
"b0350"	0	0	0	0
"b0351"	0	0	0.319471552123136	0
"b0352"	0	0	0	0
"b0353"	0	0	0	0
"b0354"	1.02458836531343	0	0	1.03480638541552
"b0355"	0	2.67184848809892	0	0
"b0356"	0	8.01554546429675	1.91682931273882	3.10441915624655
"b0357"	0	0	0.958414656369409	1.03480638541552
"b0358"	0	0	0	0
"b0360"	0	2.67184848809892	0	0
"b0361"	1.02458836531343	0	0	0
"b0363"	0	0	0	0
"b0364"	0	0	0	0
"b0365"	0	0	0	0
"b0366"	0	0	0	0
"b0367"	0	0	0	0
"b0368"	0	0	0	0
"b0369"	8.19670692250744	13.3592424404946	22.3630086486195	22.7657404791414
"b0372"	0	2.67184848809892	0	0
"b0373"	0	0	0	0
"b0375"	0	0	0	0
"b0376"	2.04917673062686	0	0	0
"b0377"	1.02458836531343	2.67184848809892	0	0
"b0378"	1.02458836531343	2.67184848809892	0	0
"b0379"	0	0	0	0
"b0380"	0	8.01554546429675	0.638943104246272	1.03480638541552
"b0381"	11.2704720184477	2.67184848809892	6.38943104246272	2.06961277083104
"b0382"	1.02458836531343	0	1.91682931273882	2.06961277083104
"b0383"	1.02458836531343	2.67184848809892	0.958414656369409	3.10441915624655
"b0384"	0	0	0	0
"b0385"	0	0	0	0
"b0386"	3.07376509594029	0	1.91682931273882	1.03480638541552
"b0387"	0	0	0.638943104246272	1.03480638541552
"b0388"	1.02458836531343	0	0.638943104246272	0
"b0389"	1.02458836531343	0	0.638943104246272	1.03480638541552
"b0390"	0	0	0.319471552123136	1.03480638541552
"b0391"	0	0	1.91682931273882	2.06961277083104
"b0392"	0	0	0.319471552123136	0
"b0393"	15.3688254797015	10.6873939523957	8.62573190732468	17.5917085520638
"b0394"	4.09835346125372	2.67184848809892	1.59735776061568	1.03480638541552
"b0396"	1.02458836531343	0	0.958414656369409	1.03480638541552
"b0397"	0	2.67184848809892	0.638943104246272	0
"b0398"	1.02458836531343	0	1.59735776061568	0
"b0399"	2.04917673062686	0	0	0
"b0400"	3.07376509594029	2.67184848809892	0.638943104246272	0
"b0401"	15.3688254797015	5.34369697619783	11.1815043243098	11.3828702395707
"b0402"	4.09835346125372	2.67184848809892	4.47260172972391	2.06961277083104
"b0403"	1.02458836531343	0	4.79207328184704	2.06961277083104
"b0404"	1.02458836531343	2.67184848809892	0.638943104246272	0
"b0405"	9.22129528782087	5.34369697619783	5.75048793821645	7.24364469790863
"b0406"	6.14753019188058	5.34369697619783	6.06995949033959	9.31325746873966
"b0407"	5.12294182656715	2.67184848809892	8.30626035520154	6.20883831249311
"b0408"	32.7868276900298	13.3592424404946	24.9187810656046	42.4270618020362
"b0409"	18.4425905756417	8.01554546429675	7.028374146709	4.13922554166207
"b0410"	0	0	1.59735776061568	3.10441915624655
"b0411"	22.5409440368955	5.34369697619783	51.7543914439481	44.4966745728673
"b0412"	0	0	0.958414656369409	0
"b0413"	3.07376509594029	2.67184848809892	6.70890259458586	5.17403192707759
"b0414"	14.344237114388	0	6.06995949033959	6.20883831249311
"b0415"	7.17211855719401	10.6873939523957	8.62573190732468	4.13922554166207
"b0416"	8.19670692250744	10.6873939523957	12.7788620849254	14.4872893958173
"b0417"	1.02458836531343	2.67184848809892	1.27788620849254	2.06961277083104
"b0418"	2.04917673062686	2.67184848809892	4.15313017760077	1.03480638541552
"b0419"	1.02458836531343	2.67184848809892	0.319471552123136	0
"b0420"	1.02458836531343	0	2.23630086486195	0
"b0421"	2.04917673062686	0	2.55577241698509	3.10441915624655
"b0422"	3.07376509594029	2.67184848809892	2.55577241698509	3.10441915624655
"b0423"	14.344237114388	24.0466363928902	15.3346345019105	14.4872893958173
"b0424"	3.07376509594029	0	1.27788620849254	4.13922554166207
"b0425"	2.04917673062686	2.67184848809892	4.15313017760077	5.17403192707759
"b0426"	9.22129528782087	21.3747879047913	19.8072362316344	14.4872893958173
"b0427"	0	0	1.59735776061568	1.03480638541552
"b0428"	10.2458836531343	5.34369697619783	6.06995949033959	7.24364469790863
"b0429"	4.09835346125372	0	5.75048793821645	4.13922554166207
"b0430"	10.2458836531343	8.01554546429675	6.38943104246272	17.5917085520638
"b0431"	38.9343578819104	34.7340303452859	16.6125207104031	24.8353532499724
"b0432"	39.9589462472238	24.0466363928902	35.7808138377913	36.2182234895431
"b0433"	0	0	0.958414656369409	1.03480638541552
"b0434"	4.09835346125372	5.34369697619783	6.38943104246272	8.27845108332414
"b0435"	5.12294182656715	5.34369697619783	4.47260172972391	6.20883831249311
"b0436"	244.87661930991	181.685697190726	262.605615845218	282.502143218436
"b0437"	9.22129528782087	2.67184848809892	13.4178051891717	13.4524830104017
"b0438"	59.426125188179	48.0932727857805	46.6428466099779	43.4618681874518
"b0439"	15.3688254797015	10.6873939523957	28.113496586836	34.1486107187121
"b0440"	17.4180022103283	21.3747879047913	33.5445129729293	36.2182234895431
"b0441"	25.6147091328358	13.3592424404946	23.0019517528658	22.7657404791414
"b0442"	0	0	0.319471552123136	0
"b0443"	0	0	0	0
"b0444"	1.02458836531343	5.34369697619783	2.87524396910823	2.06961277083104
"b0445"	0	2.67184848809892	0	0
"b0446"	1.02458836531343	0	1.91682931273882	0
"b0447"	1.02458836531343	0	1.59735776061568	2.06961277083104
"b0448"	0	0	1.27788620849254	0
"b0449"	2.04917673062686	2.67184848809892	0.319471552123136	1.03480638541552
"b0450"	0	0	0.319471552123136	0
"b0451"	2.04917673062686	0	0.638943104246272	1.03480638541552
"b0452"	6.14753019188058	0	7.66731725095527	3.10441915624655
"b0453"	2.04917673062686	5.34369697619783	0.638943104246272	0
"b0454"	1.02458836531343	0	0	0
"b0456"	0	0	0	0
"b0457"	0	0	0.638943104246272	1.03480638541552
"b0458"	0	0	0.319471552123136	0
"b0459"	0	0	0	0
"b0460"	0	0	0.319471552123136	0
"b0461"	0	2.67184848809892	2.23630086486195	0
"b0462"	17.4180022103283	13.3592424404946	17.8904069188956	22.7657404791414
"b0463"	12.2950603837612	10.6873939523957	20.1267077837576	22.7657404791414
"b0464"	1.02458836531343	0	0	1.03480638541552
"b0465"	7.17211855719401	8.01554546429675	4.15313017760077	5.17403192707759
"b0466"	0	0	0.958414656369409	1.03480638541552
"b0467"	0	0	2.23630086486195	1.03480638541552
"b0468"	2.04917673062686	0	0	1.03480638541552
"b0469"	7.17211855719401	2.67184848809892	6.06995949033959	11.3828702395707
"b0470"	0	0	0	0
"b0471"	8.19670692250744	5.34369697619783	6.06995949033959	11.3828702395707
"b0472"	9.22129528782087	10.6873939523957	7.66731725095527	6.20883831249311
"b0473"	6.14753019188058	5.34369697619783	9.90361811581722	3.10441915624655
"b0474"	21.516355671582	16.0310909285935	24.2798379613584	17.5917085520638
"b0475"	0	0	1.27788620849254	3.10441915624655
"b0476"	0	0	0.319471552123136	0
"b0477"	1.02458836531343	0	2.23630086486195	0
"b0478"	2.04917673062686	0	6.38943104246272	6.20883831249311
"b0479"	1.02458836531343	0	1.27788620849254	2.06961277083104
"b0480"	7.17211855719401	2.67184848809892	4.47260172972391	3.10441915624655
"b0481"	0	0	3.83365862547763	1.03480638541552
"b0482"	0	0	0.319471552123136	0
"b0483"	0	0	2.55577241698509	3.10441915624655
"b0484"	0	2.67184848809892	0	0
"b0485"	1.02458836531343	0	0	1.03480638541552
"b0486"	1.02458836531343	2.67184848809892	0	0
"b0487"	1.02458836531343	2.67184848809892	0.319471552123136	0
"b0488"	4.09835346125372	0	0	0
"b0489"	2.04917673062686	2.67184848809892	0.319471552123136	0
"b0490"	0	0	0	0
"b0491"	0	0	0	0
"b0492"	2.04917673062686	2.67184848809892	0.319471552123136	0
"b0493"	3.07376509594029	0	0	0
"b0494"	0	0	0	0
"b0495"	1.02458836531343	2.67184848809892	0	0
"b0496"	2.04917673062686	2.67184848809892	0	0
"b0497"	1.02458836531343	2.67184848809892	0.319471552123136	0
"b0498"	0	0	0	0
"b0499"	0	0	0	0
"b0501"	0	0	0	0
"b0502"	0	0	0	0
"b0503"	0	0	0	0
"b0504"	0	0	0	0
"b0505"	0	0	0	0
"b0506"	11.2704720184477	2.67184848809892	0.638943104246272	2.06961277083104
"b0507"	1.02458836531343	0	0	0
"b0508"	0	0	0	0
"b0509"	0	0	0	0
"b0511"	0	0	0	0
"b0512"	0	0	0	0
"b0513"	0	0	0	0
"b0514"	0	0	0	0
"b0515"	0	0	0.319471552123136	0
"b0516"	1.02458836531343	0	0	0
"b0517"	0	0	0	0
"b0518"	0	0	0	0
"b0520"	0	0	1.91682931273882	0
"b0521"	0	0	0.319471552123136	0
"b0522"	22.5409440368955	13.3592424404946	9.26467501157095	3.10441915624655
"b0523"	4.09835346125372	0	0.958414656369409	2.06961277083104
"b0524"	1.02458836531343	2.67184848809892	0.958414656369409	1.03480638541552
"b0525"	22.5409440368955	21.3747879047913	24.9187810656046	32.0789979478811
"b0526"	14.344237114388	13.3592424404946	17.5709353667725	14.4872893958173
"b0527"	0	0	0.638943104246272	0
"b0528"	2.04917673062686	2.67184848809892	4.79207328184704	2.06961277083104
"b0529"	18.4425905756417	18.7029394166924	15.9735776061568	18.6265149374793
"b0530"	0	0	0	0
"b0531"	0	0	0	0
"b0532"	0	0	0.319471552123136	0
"b0533"	0	2.67184848809892	0	0
"b0534"	0	2.67184848809892	0.638943104246272	0
"b0535"	0	0	0	0
"b0537"	0	0	0	0
"b0539"	0	0	0	0
"b0540"	0	0	0	0
"b0541"	1.02458836531343	0	0	0
"b0542"	1.02458836531343	0	0	0
"b0543"	0	0	0	0
"b0544"	0	0	0	0
"b0545"	0	0	0	0
"b0546"	0	0	0	0
"b0547"	0	0	0	0
"b0548"	0	0	0	0
"b0549"	0	0	0	0
"b0550"	0	0	0	0
"b0551"	0	0	0	0
"b0552"	1.02458836531343	0	0	0
"b0553"	0	0	0	0
"b0554"	0	0	0	1.03480638541552
"b0555"	0	0	0	0
"b0556"	0	0	0	0
"b0557"	1.02458836531343	0	0	0
"b0558"	0	0	0	0
"b0559"	0	0	0	0
"b0560"	0	0	0	0
"b0561"	1.02458836531343	0	0	0
"b0562"	0	0	0	0
"b0563"	0	0	0	0
"b0564"	0	0	0	0
"b0565"	9.22129528782087	8.01554546429675	2.55577241698509	4.13922554166207
"b0566"	0	0	0	0
"b0567"	0	0	0	0
"b0568"	0	0	0.958414656369409	2.06961277083104
"b0569"	0	0	0.319471552123136	0
"b0570"	0	0	0.958414656369409	1.03480638541552
"b0571"	6.14753019188058	13.3592424404946	7.98678880307841	7.24364469790863
"b0572"	0	0	0	0
"b0573"	0	0	0	0
"b0574"	0	0	0.319471552123136	1.03480638541552
"b0575"	0	0	0.638943104246272	0
"b0576"	4.09835346125372	2.67184848809892	4.15313017760077	3.10441915624655
